"","pi","xi1","xi2","eta1","eta2","npv1","npv2","p11","p12","p13","p14","p15","p16","p17","p18","p19","p01","p02","p03","p04","p05","p06","p07","p08","p09","N100","N200","N350","N500"
"33",0.1,0.85,0.75,0.0944444444444444,0.527777777777777,0.85,0.95,0.000286286859433152,0.0314915545376467,0.0119,0.00171772115659891,0.0343544231319782,0.00525,0.00305,0.0041,0.00785,0,0,0,0,0.379724382868736,0.435275617131265,0,0.0452756171312649,0.0397243828687351,0.0107,0.1123,0.3237,0.5234
"34",0.1,0.85,0.75,0.030952380952381,0.157407407407407,0.65,0.85,0.0162,0.0111,0.0031,0.0365,0.0013,0.0168,0.0094,5e-04,0.0051,0,0,0,0,0.748954115782676,0.123188741360181,0,0.00937921755065742,0.0184779253064854,0.0025,0.0588,0.2169,0.3879
"35",0.1,0.85,0.75,0.05,0.527777777777777,0.75,0.95,0.0022,0.0087,0.0061,0.0435,0.0119,0.0126,0.00365,0.00505,0.0063,0,0,0,0,0.380491223750869,0.474508776249131,0,0.0445087762491312,0.000491223750868812,0.0137,0.1548,0.4763,0.7175
"36",0.1,0.95,0.85,0.0103174603174603,0.05,0.65,0.75,0.00245,0.0026,0.0044,0.0296,0.0482,0.00775,9e-04,0.00125,0.00285,0,0,0,0,0.848143028885658,0.0425712568286274,0,0.00685697111434171,0.00242874317137259,0,0,0.0028,0.0139
"37",0.1,0.95,0.85,0.0166666666666667,0.0944444444444444,0.75,0.85,0.0116,0.0408,0.0045,0.00515,0.0239,0.00905,0.00185,0.0017,0.00145,0,0,0,0,0.813224411288975,0.0717755887110252,0,0.0017755887110252,0.0132244112889748,0,5e-04,0.0132,0.0426
"38",0.1,0.95,0.85,0.0314814814814815,0.316666666666666,0.85,0.95,0.0175,0.0087,0.0064,0.0124,0.0417,0.0083,0.0018,0.0029,3e-04,0,0,0,0,0.600955540878155,0.270711125788512,0,0.0140444591218451,0.0142888742114883,0,0.0059,0.0658,0.1202
"39",0.1,0.95,0.85,0.0103174603174603,0.0944444444444444,0.65,0.85,0.0185,0.0105,0.0052925,0.04,0.01275,0.0079575,0.00065,0.0026,0.00175,0,0,0,0,0.806485515864666,0.08422876984962,0,0.00851448413533425,0.000771230150380039,0,0.0011,0.0127,0.044
"40",0.1,0.95,0.85,0.0166666666666667,0.316666666666666,0.75,0.95,0.0188,0.0034,0.00765,0.0417,0.01695,0.0065,0.00065,0.0035,0.00085,0,0,0,0,0.604823664457072,0.280176335542928,0,0.0101763355429284,0.00482366445707158,2e-04,0.0034,0.0379,0.1225
"41",0.1,0.7,0.5,0.0619047619047619,0.166666666666667,0.65,0.75,0.00534,0.00737,0.04083,0.00415,0.00414,0.00817,0.01,0.019,0.001,0,0,0,0,0.737699406779305,0.10658630750641,0,0.0123005932206953,0.0434136924935904,0.0108,0.0672,0.129,0.1975
"42",0.1,0.7,0.5,0.1,0.314814814814815,0.75,0.85,0.0108,0.0116,0.0138,0.0033,0.009,0.0215,0.0035,0.0118,0.0147,0,0,0,0,0.531578251141279,0.278421748858721,0,0.085088415525388,0.00491158447461203,0.0288,0.1154,0.2699,0.4009
